,Email,Nombre Cliente,Apellido Cliente,Nombre Género,Nombre del Artista,Titulo Album,País
0,astrid.gruber@apple.at,Astrid,Gruber,Jazz,Miles Davis,Miles Ahead,Austria
1,bjorn.hansen@yahoo.no,Bjørn,Hansen,Jazz,Spyro Gyra,Heart of the Night,Norway
2,camille.bernard@yahoo.fr,Camille,Bernard,Jazz,Gene Krupa,Up An' Atom,France
3,camille.bernard@yahoo.fr,Camille,Bernard,Jazz,Incognito,Blue Moods,France
4,diego.gutierrez@yahoo.ar,Diego,Gutiérrez,Jazz,Dennis Chambers,Outbreak,Argentina
5,dominiquelefebvre@gmail.com,Dominique,Lefebvre,Jazz,Spyro Gyra,Heart of the Night,France
6,eduardo@woodstock.com.br,Eduardo,Martins,Jazz,Billy Cobham,The Best Of Billy Cobham,Brazil
7,fernadaramos4@uol.com.br,Fernanda,Ramos,Jazz,Miles Davis,Miles Ahead,Brazil
8,fharris@google.com,Frank,Harris,Jazz,Incognito,Blue Moods,USA
9,fralston@gmail.com,Frank,Ralston,Jazz,Miles Davis,The Essential Miles Davis [Disc 1],USA
10,frantisekw@jetbrains.com,František,Wichterlová,Jazz,Spyro Gyra,Heart of the Night,Czech Republic
11,isabelle_mercier@apple.fr,Isabelle,Mercier,Jazz,Gene Krupa,Up An' Atom,France
12,jenniferp@rogers.ca,Jennifer,Peterson,Jazz,Miles Davis,The Essential Miles Davis [Disc 1],Canada
13,marc.dubois@hotmail.com,Marc,Dubois,Jazz,Gene Krupa,Up An' Atom,France
14,marthasilk@gmail.com,Martha,Silk,Jazz,Antônio Carlos Jobim,Warner 25 Anos,Canada
15,nschroder@surfeu.de,Niklas,Schröder,Jazz,Miles Davis,The Essential Miles Davis [Disc 2],Germany
16,stanisław.wójcik@wp.pl,Stanisław,Wójcik,Jazz,Spyro Gyra,Heart of the Night,Poland
17,vstevens@yahoo.com,Victor,Stevens,Jazz,Antônio Carlos Jobim,Warner 25 Anos,USA
18,vstevens@yahoo.com,Victor,Stevens,Jazz,Incognito,Blue Moods,USA
