,Nombre del Artista,Id Cliente,Nombre Cliente,Apellido Cliente,Cantidad gastada
0,Antônio Carlos Jobim,20,Dan,Miller,3.96
1,Antônio Carlos Jobim,2,Leonie,Köhler,1.98
2,Antônio Carlos Jobim,14,Mark,Philips,1.98
3,Antônio Carlos Jobim,16,Frank,Harris,1.98
4,Antônio Carlos Jobim,18,Michelle,Brooks,1.98
5,Antônio Carlos Jobim,21,Kathy,Chase,1.98
6,Antônio Carlos Jobim,22,Heather,Leacock,1.98
7,Antônio Carlos Jobim,41,Marc,Dubois,1.98
8,Antônio Carlos Jobim,3,François,Tremblay,0.99
9,Antônio Carlos Jobim,15,Jennifer,Peterson,0.99
